post_comments_has_comments_id,liked_by,notification_id,created_at,modified_at
6780,1708,1421.0,2024-09-18 11:43:45,2024-09-18 11:43:45
617,4256,963.0,2024-03-26 21:22:54,2024-03-26 21:22:54
5829,3913,2076.0,2025-01-04 04:14:35,2025-01-04 04:14:35
3860,3422,,2024-12-01 18:21:46,2024-12-01 18:21:46
1908,1538,2171.0,2024-03-03 09:19:11,2024-03-03 09:19:11
835,2444,,2024-07-22 07:52:30,2024-07-22 07:52:30
1397,4847,,2024-06-11 18:14:26,2024-06-11 18:14:26
4198,1941,86.0,2024-10-05 21:57:25,2024-10-05 21:57:25
5574,1170,,2024-03-31 20:42:06,2024-03-31 20:42:06
3696,1661,,2024-07-18 15:28:23,2024-07-18 15:28:23
4572,1971,,2024-10-02 14:58:28,2024-10-02 14:58:28
5954,1196,220.0,2024-09-27 21:51:12,2024-09-27 21:51:12
5259,277,,2024-09-15 09:50:30,2024-09-15 09:50:30
1768,4793,,2024-06-06 08:59:54,2024-06-06 08:59:54
5730,1296,,2024-01-18 07:42:20,2024-01-18 07:42:20
4258,58,,2024-08-17 10:46:17,2024-08-17 10:46:17
4307,4448,,2024-10-01 23:19:56,2024-10-01 23:19:56
246,4444,,2024-06-07 18:35:35,2024-06-07 18:35:35
7011,1589,,2025-02-24 06:48:25,2025-02-24 06:48:25
7075,494,,2024-02-12 12:03:11,2024-02-12 12:03:11
3251,799,,2024-07-17 21:16:36,2024-07-17 21:16:36
7177,1817,,2024-09-30 14:44:59,2024-09-30 14:44:59
4732,525,,2025-02-13 03:41:05,2025-02-13 03:41:05
1843,4705,,2024-01-19 22:57:38,2024-01-19 22:57:38
2947,587,29.0,2024-09-05 13:47:00,2024-09-05 13:47:00
5574,4876,1090.0,2024-01-16 07:58:18,2024-01-16 07:58:18
7556,4481,,2024-11-30 11:31:59,2024-11-30 11:31:59
3123,3992,453.0,2024-09-12 14:52:18,2024-09-12 14:52:18
1783,4760,,2024-05-23 10:03:47,2024-05-23 10:03:47
1744,675,,2024-12-11 08:53:59,2024-12-11 08:53:59
6674,3622,131.0,2024-04-30 11:34:28,2024-04-30 11:34:28
4436,3700,710.0,2024-12-11 21:56:12,2024-12-11 21:56:12
1661,1437,,2025-02-23 17:18:01,2025-02-23 17:18:01
5242,3168,552.0,2024-10-03 03:48:26,2024-10-03 03:48:26
2904,1475,,2024-09-28 04:05:53,2024-09-28 04:05:53
3204,1123,,2024-04-03 18:07:04,2024-04-03 18:07:04
406,4716,,2024-11-15 09:19:39,2024-11-15 09:19:39
4688,4008,402.0,2024-09-16 05:30:31,2024-09-16 05:30:31
3816,422,,2024-11-14 22:28:09,2024-11-14 22:28:09
6325,4648,2328.0,2024-06-18 18:51:58,2024-06-18 18:51:58
2480,3136,1128.0,2024-03-12 06:20:00,2024-03-12 06:20:00
7454,873,1158.0,2024-07-18 15:08:31,2024-07-18 15:08:31
4083,2218,2019.0,2024-01-29 16:52:36,2024-01-29 16:52:36
1034,2022,,2024-07-24 17:13:45,2024-07-24 17:13:45
5127,3776,2591.0,2024-05-16 21:57:33,2024-05-16 21:57:33
6796,1309,2021.0,2024-11-27 23:38:07,2024-11-27 23:38:07
2191,4563,,2024-08-05 05:33:36,2024-08-05 05:33:36
4501,2965,1421.0,2024-10-02 10:59:00,2024-10-02 10:59:00
6047,3439,867.0,2024-04-05 08:31:21,2024-04-05 08:31:21
6569,385,1643.0,2025-02-19 12:58:55,2025-02-19 12:58:55
4577,1971,,2024-07-30 16:44:25,2024-07-30 16:44:25
719,333,,2024-02-02 04:02:38,2024-02-02 04:02:38
4010,3382,1340.0,2024-10-29 08:13:51,2024-10-29 08:13:51
1450,4772,1233.0,2024-07-29 08:32:21,2024-07-29 08:32:21
3889,1435,,2024-07-09 18:04:47,2024-07-09 18:04:47
2213,368,895.0,2024-11-08 03:21:50,2024-11-08 03:21:50
7024,1923,1304.0,2024-06-03 21:14:13,2024-06-03 21:14:13
2607,2790,711.0,2025-01-04 14:20:38,2025-01-04 14:20:38
1288,2578,,2024-06-11 09:47:37,2024-06-11 09:47:37
4785,1939,,2024-10-27 23:14:32,2024-10-27 23:14:32
1633,561,,2024-06-01 00:18:08,2024-06-01 00:18:08
6152,3923,,2024-04-05 16:14:33,2024-04-05 16:14:33
6418,4328,1507.0,2024-09-19 22:39:46,2024-09-19 22:39:46
7848,3432,1573.0,2024-12-20 22:46:31,2024-12-20 22:46:31
4020,3325,874.0,2024-06-18 23:58:38,2024-06-18 23:58:38
5210,4626,,2024-12-15 04:28:07,2024-12-15 04:28:07
5063,4982,,2024-10-04 16:54:31,2024-10-04 16:54:31
6190,3240,1902.0,2024-08-24 20:17:59,2024-08-24 20:17:59
4264,2702,,2025-02-20 00:20:18,2025-02-20 00:20:18
4465,3127,1848.0,2024-07-31 12:12:07,2024-07-31 12:12:07
5595,4895,,2024-07-19 16:55:11,2024-07-19 16:55:11
6151,3359,,2024-06-19 10:34:20,2024-06-19 10:34:20
7601,3589,,2024-02-03 18:26:10,2024-02-03 18:26:10
6162,3885,1362.0,2024-06-26 19:35:28,2024-06-26 19:35:28
4794,4563,,2024-04-28 03:30:02,2024-04-28 03:30:02
5318,3319,,2024-07-07 05:02:55,2024-07-07 05:02:55
3161,86,908.0,2024-10-21 01:22:33,2024-10-21 01:22:33
4765,3705,2164.0,2024-12-12 15:50:11,2024-12-12 15:50:11
2334,466,1099.0,2024-09-24 05:42:33,2024-09-24 05:42:33
232,1657,,2025-01-27 11:55:49,2025-01-27 11:55:49
6235,798,1987.0,2025-01-06 21:02:37,2025-01-06 21:02:37
6143,1108,,2024-12-16 21:42:15,2024-12-16 21:42:15
6737,3253,,2024-09-21 01:32:37,2024-09-21 01:32:37
6455,3986,1732.0,2024-12-08 18:39:15,2024-12-08 18:39:15
