id,user_id,user_type,description,has_files,no_of_likes,no_of_comments,no_of_shares,no_of_saves,post_privacy,created_at,modified_at
1,2785,user,Area speech themselves deep.. This post is about Food.,0,787,406,52,118,1,2025-02-09 16:33:33.287167,2025-02-09 16:54:33.287167
2,760,user,Fall soldier carry which.. This post is about Technology.,0,290,39,195,185,0,2025-02-19 16:33:33.289188,2025-02-19 16:37:33.289188
3,3359,user,Employee hundred student teacher.. This post is about Environment.,1,90,347,141,56,1,2025-02-04 16:33:33.291205,2025-02-04 16:35:33.291205
4,2446,page,Policy describe manage part specific.. This post is about Science.,0,37,267,78,140,0,2025-02-18 16:33:33.292203,2025-02-18 17:29:33.292203
5,227,page,Billion if describe majority.. This post is about Sports.,1,420,225,40,40,1,2025-02-19 16:33:33.293728,2025-02-19 16:58:33.293728
6,4276,page,Article he yeah yard determine view family one.. This post is about Art.,0,435,4,98,210,0,2025-03-04 16:33:33.295321,2025-03-04 16:48:33.295321
7,4114,page,Significant enjoy cultural fall cut team third.. This post is about Politics.,0,169,274,39,169,1,2025-02-06 16:33:33.297337,2025-02-06 17:31:33.297337
8,759,user,Once camera land conference reach.. This post is about Education.,0,179,460,33,22,0,2025-02-13 16:33:33.300567,2025-02-13 16:50:33.300567
9,4215,page,Thank air small between big.. This post is about History.,1,989,302,39,286,1,2025-02-22 16:33:33.302594,2025-02-22 16:40:33.302594
10,2266,page,Station religious compare toward yourself forward guess.. This post is about Fashion.,0,483,130,123,198,1,2025-02-26 16:33:33.304599,2025-02-26 16:56:33.304599
11,1327,user,Religious child ground create quite myself entire.. This post is about Art.,1,176,340,16,266,0,2025-02-04 16:33:33.306562,2025-02-04 17:32:33.306562
12,1706,page,Number story seek trial someone possible process.. This post is about Cooking.,0,623,437,30,171,0,2025-02-08 16:33:33.307580,2025-02-08 16:53:33.307580
13,1062,user,Air poor along wide late be get.. This post is about Cooking.,0,627,329,129,179,1,2025-03-05 16:33:33.309587,2025-03-05 17:07:33.309587
14,1542,page,Interesting white air air.. This post is about History.,0,813,257,94,188,1,2025-03-02 16:33:33.310589,2025-03-02 17:13:33.310589
15,3397,user,Task it Democrat human never couple painting few.. This post is about Travel.,1,892,136,171,232,0,2025-02-08 16:33:33.311587,2025-02-08 17:08:33.311587
16,1530,page,Memory maybe arm right lose simple level.. This post is about Cooking.,0,25,274,199,82,0,2025-02-08 16:33:33.313575,2025-02-08 17:25:33.313575
17,3068,page,Through effect ball law report plan crime.. This post is about Literature.,0,715,233,52,29,1,2025-02-28 16:33:33.314606,2025-02-28 17:08:33.314606
18,877,page,Knowledge police oil include ten.. This post is about Food.,0,598,85,173,96,0,2025-02-17 16:33:33.315588,2025-02-17 16:38:33.315588
19,1175,page,Challenge eye whatever course person.. This post is about Travel.,1,12,201,185,136,0,2025-03-01 16:33:33.317591,2025-03-01 17:23:33.317591
20,3747,user,Manage system society house arm.. This post is about Science.,1,712,470,21,61,0,2025-02-19 16:33:33.319587,2025-02-19 17:01:33.319587
