id  , user_id, interest   , created_at                , modified_at
   1,       1, Gaming     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   2,       1, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   3,       1, Environment, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   4,       2, Business   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   5,       2, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   6,       3, Cooking    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   7,       3, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   8,       3, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
   9,       4, Cooking    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  10,       5, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  11,       5, Gaming     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  12,       6, Gaming     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  13,       7, Education  , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  14,       7, Sports     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  15,       7, Food       , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  16,       8, Cooking    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  17,       8, Music      , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  18,       8, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  19,       9, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  20,       9, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  21,       9, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  22,      10, Sports     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  23,      10, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  24,      11, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  25,      11, Education  , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  26,      11, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  27,      12, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  28,      13, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  29,      13, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  30,      13, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  31,      14, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  32,      15, Business   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  33,      15, History    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  34,      15, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  35,      16, Business   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  36,      16, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  37,      17, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  38,      17, Art        , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  39,      18, History    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  40,      18, Science    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  41,      19, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  42,      19, Cooking    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  43,      20, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  44,      20, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  45,      21, Food       , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  46,      22, History    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  47,      22, Gaming     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  48,      23, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  49,      23, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  50,      23, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  51,      24, Business   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  52,      25, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  53,      26, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  54,      27, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  55,      27, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  56,      28, Fitness    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  57,      29, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  58,      29, Science    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  59,      30, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  60,      30, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  61,      30, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  62,      31, Cooking    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  63,      32, Art        , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  64,      32, Fashion    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  65,      32, Fitness    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  66,      33, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  67,      33, Music      , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  68,      34, Art        , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  69,      35, Environment, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  70,      36, Environment, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  71,      36, Science    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  72,      36, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  73,      37, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  74,      37, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  75,      38, Education  , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  76,      38, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  77,      38, Food       , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  78,      39, Science    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  79,      39, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  80,      40, Business   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  81,      40, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  82,      40, Fashion    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  83,      41, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  84,      41, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  85,      42, Health     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  86,      42, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  87,      42, Environment, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  88,      43, Education  , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  89,      43, Environment, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  90,      44, Movies     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  91,      44, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  92,      45, Science    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  93,      45, Travel     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  94,      46, Politics   , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  95,      46, Food       , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  96,      47, Gaming     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  97,      48, Sports     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  98,      48, Cooking    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
  99,      48, History    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 100,      49, Fitness    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 101,      49, Education  , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 102,      50, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 103,      51, Literature , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 104,      51, Science    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 105,      52, History    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 106,      52, Sports     , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 107,      53, Food       , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 108,      54, Technology , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 109,      54, History    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 110,      54, Photography, 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 111,      55, Education  , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
 112,      55, Fitness    , 2025-03-05 16:33:33.103117, 2025-03-05 16:33:33.103117
